"P1","P2","Rounds","Rounds","P1 Mean","P2 Mean","0-00","0-01","0-01","0-11","1-00","1-01","1-00","1-11","cov(p1,p2)",,,,,,,,,,,,,,,,,,,,,
2222,1111,565,565,0.482270,0.969858,0.000000,0.000000,0.000000,0.000000,0.200000,0.007463,0.333333,0.007752,0.004726,,,,,,,,,,,,,,,,,,,,,
1111,3333,216,216,0.158140,0.027907,0.000000,0.000000,0.000000,"NaN",0.111111,"NaN",0.043478,1.000000,"2.5839793281653707E-4",,,,,,,,,,,,,,,,,,,,,
2676,1111,2196,2196,0.040091,0.969932,0.000000,0.000000,0.000000,0.000000,1.000000,0.014286,1.000000,0.066667,"-1.4356191211189434E-4",,,,,,,,,,,,,,,,,,,,,
4035,1111,142,142,0.914894,0.978723,"NaN","NaN","NaN",0.000000,"NaN",0.083333,0.333333,0.008850,0.004495,,,,,,,,,,,,,,,,,,,,,
6152,1111,710,710,0.959097,0.961918,"NaN",0.000000,0.000000,0.000000,"NaN",0.037037,0.041667,0.001592,"-2.5824907129660946E-4",,,,,,,,,,,,,,,,,,,,,
1111,6612,592,592,0.967851,0.942470,"NaN","NaN","NaN",0.000000,"NaN",0.052632,0.029412,0.001931,"-3.0868431883660256E-4",,,,,,,,,,,,,,,,,,,,,
7025,1111,997,997,0.939759,0.969880,0.000000,0.000000,0.000000,0.000000,"NaN",0.018868,"NaN",0.001134,0.003116,,,,,,,,,,,,,,,,,,,,,
8200,1111,145,145,0.951389,0.965278,"NaN",0.000000,"NaN",0.000000,"NaN",0.200000,0.200000,0.007937,0.004646,,,,,,,,,,,,,,,,,,,,,
9177,1111,827,827,0.939467,0.973366,0.000000,0.000000,0.000000,0.000000,"NaN",0.020833,1.000000,0.001377,"7.041408164520088E-4",,,,,,,,,,,,,,,,,,,,,
1111,5396,2271,2271,0.089427,0.026432,0.000000,0.000000,0.000000,0.000000,0.016949,1.000000,0.007353,0.166667,"7.210237489743319E-4",,,,,,,,,,,,,,,,,,,,,
1194,1111,408,408,0.877150,0.970516,"NaN",0.000000,0.000000,0.000000,"NaN",0.022222,"NaN",0.003215,-0.001536,,,,,,,,,,,,,,,,,,,,,
1111,8608,16,16,1.000000,0.600000,"NaN","NaN","NaN","NaN","NaN","NaN",0.200000,0.111111,0.037500,,,,,,,,,,,,,,,,,,,,,
7812,1111,1461,1461,0.025342,0.115753,0.000000,0.000000,0.000000,0.000000,0.030303,0.500000,"NaN",1.000000,"-8.766748239618192E-4",,,,,,,,,,,,,,,,,,,,,
2476,1111,1293,1293,0.940402,0.965170,0.000000,0.000000,0.000000,0.000000,"NaN",0.014706,0.500000,"8.741258741258741E-4",0.002496,,,,,,,,,,,,,,,,,,,,,
1111,6780,7,6,1.000000,0.833333,"NaN","NaN","NaN","NaN","NaN","NaN",1.000000,0.250000,0.119048,,,,,,,,,,,,,,,,,,,,,
8650,1111,322,322,0.947040,0.975078,0.000000,0.000000,0.000000,0.000000,"NaN",0.071429,1.000000,0.003472,0.004663,,,,,,,,,,,,,,,,,,,,,
